dataset_id,file_path,task_type,target_column,source,notes
openml_3,openml_3\data.csv,classification,class,OpenML,
openml_6,openml_6\data.csv,classification,class,OpenML,
openml_12,openml_12\data.csv,classification,class,OpenML,
openml_14,openml_14\data.csv,classification,class,OpenML,
openml_15,openml_15\data.csv,classification,Class,OpenML,
openml_16,openml_16\data.csv,classification,class,OpenML,
openml_18,openml_18\data.csv,classification,class,OpenML,
openml_21,openml_21\data.csv,classification,class,OpenML,
openml_22,openml_22\data.csv,classification,class,OpenML,
openml_23,openml_23\data.csv,classification,Contraceptive_method_used,OpenML,
openml_24,openml_24\data.csv,classification,class,OpenML,
openml_25,openml_25\data.csv,classification,surgical_lesion,OpenML,
openml_28,openml_28\data.csv,classification,class,OpenML,
openml_29,openml_29\data.csv,classification,class,OpenML,
openml_31,openml_31\data.csv,classification,class,OpenML,
openml_32,openml_32\data.csv,classification,class,OpenML,
openml_33,openml_33\data.csv,classification,band_type,OpenML,
openml_37,openml_37\data.csv,classification,class,OpenML,
openml_44,openml_44\data.csv,classification,class,OpenML,
openml_46,openml_46\data.csv,classification,Class,OpenML,
openml_49,openml_49\data.csv,classification,num,OpenML,
openml_50,openml_50\data.csv,classification,Class,OpenML,
openml_54,openml_54\data.csv,classification,Class,OpenML,
openml_60,openml_60\data.csv,classification,class,OpenML,
openml_61,openml_61\data.csv,classification,class,OpenML,
openml_151,openml_151\data.csv,classification,class,OpenML,
openml_181,openml_181\data.csv,classification,class_protein_localization,OpenML,
openml_182,openml_182\data.csv,classification,class,OpenML,
openml_183,openml_183\data.csv,classification,Class_number_of_rings,OpenML,
openml_184,openml_184\data.csv,classification,game,OpenML,
openml_185,openml_185\data.csv,classification,Hall_of_Fame,OpenML,
openml_187,openml_187\data.csv,classification,class,OpenML,
openml_188,openml_188\data.csv,classification,Utility,OpenML,
openml_189,openml_189\data.csv,classification,y,OpenML,
openml_190,openml_190\data.csv,classification,grade_point_average,OpenML,
openml_294,openml_294\data.csv,classification,class,OpenML,
openml_300,openml_300\data.csv,classification,class,OpenML,
openml_307,openml_307\data.csv,classification,Class,OpenML,
openml_312,openml_312\data.csv,classification,Urban,OpenML,
openml_313,openml_313\data.csv,classification,LRS-class,OpenML,
openml_333,openml_333\data.csv,classification,class,OpenML,
openml_334,openml_334\data.csv,classification,class,OpenML,
openml_335,openml_335\data.csv,classification,class,OpenML,
openml_336,openml_336\data.csv,classification,OVERALL_DIAGNOSIS,OpenML,
openml_337,openml_337\data.csv,classification,OVERALL_DIAGNOSIS,OpenML,
openml_338,openml_338\data.csv,classification,GG_new,OpenML,
openml_339,openml_339\data.csv,classification,pasture-prod-class,OpenML,
openml_340,openml_340\data.csv,classification,Acceptability,OpenML,
openml_342,openml_342\data.csv,classification,Acceptability,OpenML,
openml_357,openml_357\data.csv,classification,Y,OpenML,
openml_375,openml_375\data.csv,classification,speaker,OpenML,
openml_377,openml_377\data.csv,classification,class,OpenML,
openml_378,openml_378\data.csv,classification,movedin,OpenML,
openml_379,openml_379\data.csv,classification,class,OpenML,
openml_380,openml_380\data.csv,classification,class,OpenML,
openml_381,openml_381\data.csv,classification,movedin,OpenML,
openml_382,openml_382\data.csv,classification,movedin,OpenML,
openml_383,openml_383\data.csv,classification,CLASS_LABEL,OpenML,
openml_384,openml_384\data.csv,classification,CLASS_LABEL,OpenML,
openml_385,openml_385\data.csv,classification,CLASS_LABEL,OpenML,
openml_386,openml_386\data.csv,classification,CLASS_LABEL,OpenML,
openml_387,openml_387\data.csv,classification,CLASS_LABEL,OpenML,
openml_388,openml_388\data.csv,classification,CLASS_LABEL,OpenML,
openml_389,openml_389\data.csv,classification,CLASS_LABEL,OpenML,
openml_391,openml_391\data.csv,classification,CLASS_LABEL,OpenML,
openml_392,openml_392\data.csv,classification,CLASS_LABEL,OpenML,
openml_394,openml_394\data.csv,classification,CLASS_LABEL,OpenML,
openml_395,openml_395\data.csv,classification,CLASS_LABEL,OpenML,
openml_396,openml_396\data.csv,classification,CLASS_LABEL,OpenML,
openml_397,openml_397\data.csv,classification,CLASS_LABEL,OpenML,
openml_398,openml_398\data.csv,classification,CLASS_LABEL,OpenML,
openml_400,openml_400\data.csv,classification,CLASS_LABEL,OpenML,
openml_401,openml_401\data.csv,classification,CLASS_LABEL,OpenML,
openml_405,openml_405\data.csv,classification,oz203,OpenML,
openml_406,openml_406\data.csv,classification,oz10,OpenML,
openml_409,openml_409\data.csv,classification,oz322,OpenML,
openml_410,openml_410\data.csv,classification,oz1143,OpenML,
openml_411,openml_411\data.csv,classification,oz1143,OpenML,
openml_412,openml_412\data.csv,classification,oz111,OpenML,
openml_413,openml_413\data.csv,classification,oz1143,OpenML,
openml_414,openml_414\data.csv,classification,oz1143,OpenML,
openml_415,openml_415\data.csv,classification,oz1143,OpenML,
openml_416,openml_416\data.csv,classification,oz252,OpenML,
openml_417,openml_417\data.csv,classification,oz1143,OpenML,
openml_418,openml_418\data.csv,classification,oz1143,OpenML,
